path,filename,languages,media,date,pid,designType,activityType,groupType
childes/Eng-NA/Brown/Sarah/040118,040118,eng,,1965-09-10,11312/c-00015798-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040128,040128,eng,,1965-09-20,11312/c-00015799-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040201,040201,eng,,1965-09-24,11312/c-00015800-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040209,040209,eng,,1965-10-01,11312/c-00015801-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040216,040216,eng,,1965-10-08,11312/c-00015802-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040223,040223,eng,,1965-10-15,11312/c-00015803-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040228,040228,eng,,,11312/c-00015804-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040307,040307,eng,,1965-10-29,11312/c-00015805-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040313,040313,eng,,1965-11-05,11312/c-00015806-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040319,040319,eng,,,11312/c-00015807-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040326,040326,eng,,,11312/c-00015808-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040401,040401,eng,,,11312/c-00015809-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040411,040411,eng,,,11312/c-00015810-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040418,040418,eng,,,11312/c-00015811-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040425,040425,eng,,1965-12-17,11312/c-00015812-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040504,040504,eng,,1965-12-27,11312/c-00015813-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040508,040508,eng,,1965-12-31,11312/c-00015814-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040514,040514,eng,,1966-01-07,11312/c-00015815-1,long,toyplay,TD
