filename,path,who,name,role,language,monthage,age,sex,numwords,numutts,avgutt,medianutt
rick,childes/Eng-NA/Bates/Snack28/rick,CHI,,Target_Child,eng,28.0,2;04.00,male,36,23,1.5652174,1
rick,childes/Eng-NA/Bates/Snack28/rick,INV,,Investigator,eng,,,,16,4,4.0,5
ruth,childes/Eng-NA/Bates/Snack28/ruth,MOT,,Mother,eng,,,female,264,72,3.6666667,3
ruth,childes/Eng-NA/Bates/Snack28/ruth,CHI,,Target_Child,eng,28.0,2;04.00,female,68,43,1.5813954,1
steve,childes/Eng-NA/Bates/Snack28/steve,MOT,,Mother,eng,,,female,518,129,4.015504,4
steve,childes/Eng-NA/Bates/Snack28/steve,CHI,,Target_Child,eng,28.0,2;04.00,male,138,67,2.0597014,2
sue,childes/Eng-NA/Bates/Snack28/sue,MOT,,Mother,eng,,,female,150,50,3.0,3
sue,childes/Eng-NA/Bates/Snack28/sue,CHI,,Target_Child,eng,28.0,2;04.00,female,31,19,1.6315789,1
zeke,childes/Eng-NA/Bates/Snack28/zeke,MOT,,Mother,eng,,,female,122,36,3.3888888,3
zeke,childes/Eng-NA/Bates/Snack28/zeke,CHI,,Target_Child,eng,28.0,2;04.00,male,46,17,2.7058823,3
amyst,childes/Eng-NA/Bates/Story28/amyst,INV,,Investigator,eng,,,,12,3,4.0,3
amyst,childes/Eng-NA/Bates/Story28/amyst,CHI,,Target_Child,eng,28.0,2;04.00,female,77,46,1.673913,1
amyst,childes/Eng-NA/Bates/Story28/amyst,MOT,,Mother,eng,,,female,215,73,2.9452055,3
bettyst,childes/Eng-NA/Bates/Story28/bettyst,MOT,,Mother,eng,,,female,257,59,4.355932,4
bettyst,childes/Eng-NA/Bates/Story28/bettyst,CHI,,Target_Child,eng,28.0,2;04.00,female,20,13,1.5384616,1
chuckst,childes/Eng-NA/Bates/Story28/chuckst,MOT,,Mother,eng,,,female,423,129,3.2790697,3
chuckst,childes/Eng-NA/Bates/Story28/chuckst,CHI,,Target_Child,eng,28.0,2;04.00,male,52,32,1.625,1
chuckst,childes/Eng-NA/Bates/Story28/chuckst,INV,,Investigator,eng,,,,11,2,5.5,7
dougst,childes/Eng-NA/Bates/Story28/dougst,MOT,,Mother,eng,,,female,366,85,4.3058825,3
dougst,childes/Eng-NA/Bates/Story28/dougst,CHI,,Target_Child,eng,28.0,2;04.00,male,30,18,1.6666666,1
dougst,childes/Eng-NA/Bates/Story28/dougst,INV,,Investigator,eng,,,,11,2,5.5,9
edst,childes/Eng-NA/Bates/Story28/edst,MOT,,Mother,eng,,,female,628,125,5.024,4
edst,childes/Eng-NA/Bates/Story28/edst,CHI,,Target_Child,eng,28.0,2;04.00,male,74,29,2.5517242,1
frankst,childes/Eng-NA/Bates/Story28/frankst,CHI,,Target_Child,eng,28.0,2;04.00,male,86,75,1.1466666,1
frankst,childes/Eng-NA/Bates/Story28/frankst,MOT,,Mother,eng,,,female,366,120,3.05,3
georgest,childes/Eng-NA/Bates/Story28/georgest,INV,,Investigator,eng,,,,13,2,6.5,9
georgest,childes/Eng-NA/Bates/Story28/georgest,CHI,,Target_Child,eng,28.0,2;04.00,male,80,35,2.2857144,2
georgest,childes/Eng-NA/Bates/Story28/georgest,MOT,,Mother,eng,,,female,244,72,3.3888888,3
gloriast,childes/Eng-NA/Bates/Story28/gloriast,INV,,Investigator,eng,,,,29,5,5.8,5
gloriast,childes/Eng-NA/Bates/Story28/gloriast,CHI,,Target_Child,eng,28.0,2;04.00,female,46,34,1.3529412,1
gloriast,childes/Eng-NA/Bates/Story28/gloriast,MOT,,Mother,eng,,,female,309,88,3.5113637,3
hankst,childes/Eng-NA/Bates/Story28/hankst,MOT,,Mother,eng,,,female,520,111,4.6846848,4
hankst,childes/Eng-NA/Bates/Story28/hankst,CHI,,Target_Child,eng,28.0,2;04.00,male,71,42,1.6904762,1
hankst,childes/Eng-NA/Bates/Story28/hankst,INV,,Investigator,eng,,,,39,7,5.571429,4
ivyst,childes/Eng-NA/Bates/Story28/ivyst,INV,,Investigator,eng,,,,59,17,3.4705882,3
ivyst,childes/Eng-NA/Bates/Story28/ivyst,CHI,,Target_Child,eng,28.0,2;04.00,female,90,40,2.25,2
ivyst,childes/Eng-NA/Bates/Story28/ivyst,MOT,,Mother,eng,,,female,225,62,3.6290324,3
keithst,childes/Eng-NA/Bates/Story28/keithst,INV,,Investigator,eng,,,,13,1,13.0,13
keithst,childes/Eng-NA/Bates/Story28/keithst,CHI,,Target_Child,eng,28.0,2;04.00,male,192,72,2.6666667,2
keithst,childes/Eng-NA/Bates/Story28/keithst,MOT,,Mother,eng,,,female,614,125,4.912,4
kentst,childes/Eng-NA/Bates/Story28/kentst,MOT,,Mother,eng,,,female,440,98,4.4897957,4
kentst,childes/Eng-NA/Bates/Story28/kentst,CHI,,Target_Child,eng,28.0,2;04.00,male,52,41,1.2682927,1
kentst,childes/Eng-NA/Bates/Story28/kentst,INV,,Investigator,eng,,,,2,1,2.0,2
lindast,childes/Eng-NA/Bates/Story28/lindast,MOT,,Mother,eng,,,female,212,54,3.925926,3
lindast,childes/Eng-NA/Bates/Story28/lindast,CHI,,Target_Child,eng,28.0,2;04.00,female,29,18,1.6111112,2
mandyst,childes/Eng-NA/Bates/Story28/mandyst,MOT,,Mother,eng,,,female,346,90,3.8444445,3
mandyst,childes/Eng-NA/Bates/Story28/mandyst,CHI,,Target_Child,eng,28.0,2;04.00,female,59,34,1.7352941,1
